tanggal,curah_hujan_mm,durasi_hujan_jam,status_banjir
2022-01-07,3.9,9.0,0
2022-01-08,0.2,2.0,0
2022-01-09,11.6,8.0,0
2022-01-10,16.9,13.0,0
2022-01-11,6.4,8.0,0
2022-01-12,14.8,13.0,0
2022-01-13,19.7,14.0,0
2022-01-14,9.7,7.0,0
2022-01-15,11.2,8.0,0
2022-01-16,0.4,4.0,0
2022-01-17,1.2,3.0,0
2022-01-18,11.2,9.0,0
2022-01-19,23.8,17.0,0
2022-01-20,41.3,12.0,0
2022-01-21,13.4,19.0,0
2022-01-22,4.4,6.0,0
2022-01-23,16.4,18.0,0
2022-01-24,14.3,14.0,0
2022-01-25,13.6,13.0,0
2022-01-26,10.4,7.0,0
2022-01-27,16.9,14.0,0
2022-01-28,35.6,16.0,0
2022-01-29,3.4,8.0,0
2022-01-30,3.3,4.0,0
2022-01-31,0.8,4.0,0
2022-02-01,19.5,7.0,0
2022-02-02,0.2,1.0,0
2022-02-03,0.6,2.0,0
2022-02-04,3.9,6.0,0
2022-02-05,12.2,7.0,0
2022-02-06,12.5,14.0,0
2022-02-07,10.6,16.0,0
2022-02-08,6.9,11.0,0
2022-02-09,19.6,20.0,0
2022-02-10,22.7,15.0,0
2022-02-11,15.2,12.0,0
2022-02-12,15.5,17.0,0
2022-02-13,8.1,8.0,0
2022-02-14,13.3,6.0,0
2022-02-15,24.1,18.0,0
2022-02-16,10.4,14.0,0
2022-02-17,5.1,4.0,0
2022-02-18,20.4,23.0,0
2022-02-19,15.7,17.0,0
2022-02-20,27.5,20.0,0
2022-02-21,14.3,16.0,0
2022-02-22,16.1,5.0,0
2022-02-23,11.9,14.0,0
2022-02-24,11.9,12.0,0
2022-02-25,0.8,3.0,0
2022-02-26,0.3,1.0,0
2022-02-27,0.2,1.0,0
2022-02-28,1.3,4.0,0
2022-03-01,0.2,2.0,0
2022-03-02,2.4,11.0,0
2022-03-03,4.5,13.0,0
2022-03-04,9.1,12.0,0
2022-03-05,29.2,21.0,0
2022-03-06,22.8,20.0,0
2022-03-07,31.7,17.0,0
2022-03-08,1.0,4.0,0
2022-03-09,22.9,14.0,0
2022-03-10,6.1,9.0,0
2022-03-11,10.0,12.0,0
2022-03-12,28.1,13.0,0
2022-03-13,22.9,22.0,0
2022-03-14,1.5,4.0,0
2022-03-15,6.1,10.0,0
2022-03-16,12.7,15.0,0
2022-03-17,6.3,13.0,0
2022-03-18,36.3,17.0,0
2022-03-19,20.3,16.0,0
2022-03-20,29.7,15.0,0
2022-03-21,1.4,3.0,0
2022-03-22,18.9,15.0,0
2022-03-23,8.7,9.0,0
2022-03-24,1.8,3.0,0
2022-03-25,5.0,7.0,0
2022-03-26,1.2,3.0,0
2022-03-27,11.7,10.0,0
2022-03-28,6.4,4.0,0
2022-03-29,8.5,9.0,0
2022-03-30,10.0,10.0,0
2022-03-31,1.3,3.0,0
2022-04-01,6.4,8.0,0
2022-04-02,16.0,8.0,0
2022-04-03,0.6,4.0,0
2022-04-04,17.3,6.0,0
2022-04-05,14.8,20.0,0
2022-04-06,24.0,8.0,0
2022-04-07,9.3,10.0,0
2022-04-08,13.8,11.0,0
2022-04-09,3.5,4.0,0
2022-04-10,13.9,13.0,0
2022-04-11,9.6,6.0,0
2022-04-12,4.0,9.0,0
2022-04-13,11.4,12.0,0
2022-04-14,1.5,3.0,0
2022-04-15,13.1,12.0,0
2022-04-16,54.1,18.0,0
2022-04-17,2.9,5.0,0
2022-04-18,4.3,7.0,0
2022-04-19,5.1,8.0,0
2022-04-20,7.0,6.0,0
2022-04-21,10.3,12.0,0
2022-04-22,34.0,13.0,0
2022-04-23,5.6,5.0,0
2022-04-24,1.9,7.0,0
2022-04-25,18.9,16.0,0
2022-04-26,12.2,10.0,0
2022-04-27,28.5,18.0,0
2022-04-28,5.6,7.0,0
2022-04-29,2.0,9.0,0
2022-04-30,10.0,10.0,0
2022-05-01,7.5,2.0,0
2022-05-02,3.7,11.0,0
2022-05-03,7.1,8.0,0
2022-05-04,25.8,16.0,0
2022-05-05,4.5,7.0,0
2022-05-06,1.1,4.0,0
2022-05-07,3.7,7.0,0
2022-05-08,19.2,13.0,0
2022-05-09,21.8,22.0,0
2022-05-10,9.0,12.0,0
2022-05-11,0.4,4.0,0
2022-05-12,29.0,14.0,0
2022-05-13,28.2,10.0,0
2022-05-14,22.8,17.0,0
2022-05-15,5.6,9.0,0
2022-05-16,15.8,13.0,0
2022-05-17,14.5,13.0,0
2022-05-18,0.4,1.0,0
2022-05-19,17.3,13.0,0
2022-05-20,22.9,17.0,0
2022-05-21,15.5,17.0,0
2022-05-22,6.5,5.0,0
2022-05-23,5.4,8.0,0
2022-05-24,14.2,8.0,0
2022-05-25,12.3,8.0,0
2022-05-26,3.6,9.0,0
2022-05-27,14.5,17.0,0
2022-05-28,1.2,2.0,0
2022-05-29,15.7,10.0,0
2022-05-30,0.0,0.0,0
2022-05-31,0.7,2.0,0
2022-06-01,1.2,4.0,0
2022-06-02,4.3,11.0,0
2022-06-03,12.3,10.0,0
2022-06-04,17.2,15.0,0
2022-06-05,1.6,6.0,0
2022-06-06,7.2,9.0,0
2022-06-07,15.6,12.0,0
2022-06-08,0.4,4.0,0
2022-06-09,9.3,13.0,0
2022-06-10,3.6,6.0,0
2022-06-11,5.3,7.0,0
2022-06-12,5.7,15.0,0
2022-06-13,10.8,10.0,0
2022-06-14,10.2,11.0,0
2022-06-15,5.8,15.0,0
2022-06-16,5.8,6.0,0
2022-06-17,23.0,18.0,0
2022-06-18,16.6,19.0,0
2022-06-19,5.4,9.0,0
2022-06-20,3.1,8.0,0
2022-06-21,19.9,10.0,0
2022-06-22,6.2,10.0,0
2022-06-23,11.4,14.0,0
2022-06-24,17.6,12.0,0
2022-06-25,9.1,11.0,0
2022-06-26,12.6,15.0,0
2022-06-27,2.1,9.0,0
2022-06-28,8.3,12.0,0
2022-06-29,16.3,9.0,0
2022-06-30,18.9,19.0,0
2022-07-01,9.3,10.0,0
2022-07-02,0.3,2.0,0
2022-07-03,11.1,13.0,0
2022-07-04,5.9,13.0,0
2022-07-05,1.3,2.0,0
2022-07-06,7.8,10.0,0
2022-07-07,1.4,6.0,0
2022-07-08,14.1,11.0,0
2022-07-09,20.2,21.0,0
2022-07-10,5.2,15.0,0
2022-07-11,15.6,11.0,0
2022-07-12,12.2,10.0,0
2022-07-13,16.2,19.0,0
2022-07-14,10.2,15.0,0
2022-07-15,0.8,5.0,0
